,Shoes_Description,Shoes_brand,Shoes_Prices
326,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹429
327,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
328,"MOJ 403 Sports shoes, Running, Walking, Lightweight, Gy...",JQR,₹458
329,Future-04 laceless sports shoes for men | Latest Stylis...,asian,₹649
330,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",aadi,₹386
331,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹337
332,High Tops For Men,RapidBox,₹559
333,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹474
334,"HILTON Sports shoes, Running, Walking, Lightweight, Gym...",JQR,₹874
335,ARTEM Running Shoes For Men,ADIDAS,"₹1,728"
336,"LightWeight Durable Sports,outdoor,walking,Running ,gym...",Hambler,₹297
337,FIRST Running Shoes For Men,CAMPUS,"₹1,274"
338,TRACK Sneakers For Men,Skechers,"₹2,469"
339,"StreetLook Best Quality & Official, Partywear, Shoes La...",streetLOOK,₹469
340,NORTH PLUS Running Shoes For Men,CAMPUS,"₹1,274"
341,STYLISH LIGHT WEIGHT SPORTS SHOES FOR BOYS Slip On Snea...,TPENT,₹444
342,Slip On For Men,Bata,₹829
343,Boxer Loafers For Men,HOTSTYLE,₹262
344,RUMBLE Running Shoes For Men,CAMPUS,"₹1,159"
345,"Action Athleo ATG-424 Light Weight,Comfortable,Trendy,R...",action,₹629
346,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹337
347,"GLOBAL Sports shoes, Running, Walking, Lightweight, Gym...",JQR,"₹1,119"
348,Colourful Block Shoes For Boys Casual Sneakers For Men,Labbin,₹599
349,Running Shoes For Women,Sparx,₹999
350,Premium Attractive Professional Stylish Casual Driving ...,WUGATTI,₹599
351,Cricket Spikes Shoes Cricket Shoes For Men Cricket Shoe...,Proase,"₹1,199"
352,PULLSE60 Sneakers For Men,ADIDAS,"₹2,304"
353,Buzz Sneakers For Men,PUMA,"₹1,299"
354,Sneakers For Men,Bata,₹509
355,FIRST Running Shoes For Men,CAMPUS,"₹1,274"
356,Running Shoes For Men,richerson,"₹1,183"
357,Spring Edge Alpha 1 Sneakers For Men,ATOM,"₹1,435"
358,"Chrome-02 Grey Sports,Gym,Training,Walking,Stylish Runn...",asian,"₹1,299"
359,ROCKEE Walking Shoes For Men,CAMPUS,"₹1,149"
360,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,aadi,₹291
361,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹429
362,Carnival-02 Mens High Top Casual Chunky Fashion Sneaker...,asian,₹999
363,"Stylish Comfortable Lightweight, Breathable Black Runni...",BIRDE,₹360
364,flaze mode M Running Shoes For Men,ADIDAS,"₹2,208"
365,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹337
366,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",aadi,₹386
367,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹337
368,Pro Running Running Shoes For Men,Mi,"₹2,999"
369,GEL-ASRO Running Shoes For Men,Asics,"₹3,244"
370,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,aadi,₹337
